eq_id,shareClassFIGI,legal_name
EQ0000203,BBG001S5PGN7,CAMDEN NATIONAL CORP
EQ0000204,BBG001S5PGT1,SUMITOMO METAL MINING CO LTD
EQ0000205,BBG001S5PGY5,CONAGRA BRANDS INC
EQ0000206,BBG001S5PHC7,A.G.V. PRODUCTS
EQ0000207,BBG001S5PHG3,PALRAM INDUSTRIES (1990) LTD
EQ0000208,BBG001S5PHK8,TAISUN ENTERPRISE CO LTD
EQ0000209,BBG001S5PHM6,POLYMERIC RESOURCES CORP
EQ0000210,BBG001S5PHZ2,CASEY'S GENERAL STORES INC
EQ0000211,BBG001S5PJ06,CATERPILLAR INC
EQ0000212,BBG001S5PJ51,HOLLUND INDUSTRIAL MARINE
EQ0000213,BBG001S5PJX0,ELATE HOLDINGS LTD
EQ0000214,BBG001S5PJZ8,CMTSU LIQUIDATION INC
EQ0000215,BBG001S5PK03,CRACKER BARREL OLD COUNTRY
EQ0000216,BBG001S5PK21,COMMERCE BANCSHARES INC
EQ0000217,BBG001S5PK58,CABOT CORP
EQ0000218,BBG001S5PK76,COMMUNITY FINANCIAL SYSTEM I
EQ0000219,BBG001S5PKD9,CCA INDUSTRIES INC
EQ0000220,BBG001S5PKZ5,CROWN HOLDINGS INC
EQ0000221,BBG001S5PL01,CARNIVAL CORP LTD
EQ0000222,BBG001S5PLR2,FREDDIE MAC
EQ0000223,BBG001S5PM18,NATIONAL BEVERAGE CORP
EQ0000224,BBG001S5PM54,COEUR MINING INC
EQ0000225,BBG001S5PMP2,AVILLION BHD
EQ0000226,BBG001S5PNG0,CENTRAL GARDEN & PET CO
EQ0000227,BBG001S5PNJ7,PUBLIC BANK BERHAD
EQ0000228,BBG001S5PP20,CENTRAL SECURITIES CORP
EQ0000229,BBG001S5PP84,CROWELL DEVELOPMENT CORP
EQ0000230,BBG001S5PPB0,ARGO PANTES PT
EQ0000231,BBG001S5PPF6,MATSUYA CO LTD
EQ0000232,BBG001S5PPG5,TM TECHNOLOGY INC
EQ0000233,BBG001S5PPQ4,CULP INC
EQ0000234,BBG001S5PPW7,SAHA-UNION CORP PCL
EQ0000235,BBG001S5PQ00,BAKRIE & BROTHERS PT
EQ0000236,BBG001S5PQC7,COMPUGEN LTD
EQ0000237,BBG001S5PQG3,RAFFLES MEDICAL GROUP LTD
EQ0000238,BBG001S5PQH2,ALLSTAR HEALTH BRANDS INC
EQ0000239,BBG001S5PQL7,AMAZON.COM INC
EQ0000240,BBG001S5PR44,CARNIVAL INDUSTRIAL CORP
EQ0000241,BBG001S5PR71,CITY HOLDING CO
